Prest.,Atleta,Anno,Società,Città,Data
1h39:44,ZABOT Gigliola,73,ANA ATL.FELTRE,Stra,06/04/2014
1h41:30,ZABOT Gigliola,73,ANA ATL.FELTRE,Treviso,12/10/2014
1h27:56,SCHIEVENIN Federica,83,ANA ATL.FELTRE,Cittadella,27/12/2015
1h37:08,ZABOT Gigliola,73,ANA ATL.FELTRE,Riva Del Garda,08/11/2015
1h37:20,ZABOT Gigliola,73,ANA ATL.FELTRE,Treviso,11/10/2015
1h37:49,ZABOT Gigliola,73,ANA ATL.FELTRE,Lucca,03/05/2015
1h51:47,BRANDALISE Chiara,73,ANA ATL.FELTRE,Brugnera,15/03/2015
1h58:24,BRANDALISE Chiara,73,ANA ATL.FELTRE,Palmanova,15/11/2015
2h00:01,BRANDALISE Chiara,73,ANA ATL.FELTRE,Cittadella,27/12/2015
2h03:47,MANFROI Laura,67,ANA ATL.FELTRE,Verona,15/11/2015
2h03:48,FRANZOIA Emanuela,70,ANA ATL.FELTRE,Verona,15/11/2015
2h03:48,FAVARETTO Paola,64,ANA ATL.FELTRE,Verona,15/11/2015
2h03:49,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Verona,15/11/2015
2h03:49,SCHIEVENIN Magali,68,ANA ATL.FELTRE,Verona,15/11/2015
2h03:54,PAULETTI Elena,68,ANA ATL.FELTRE,Verona,15/11/2015
1h56:01,SCHIEVENIN Magali,68,ANA ATL.FELTRE,Lignano Sabbiadoro,11/06/2016
2h34:43,ZAETTA Serena,79,ANA ATL.FELTRE,Verona,14/02/2016
1h22:39,TONIN Francesca,94,ANA ATL.FELTRE,Cittadella,17/12/2017
1h24:37,TONIN Francesca,94,ANA ATL.FELTRE,Abano Terme,23/04/2017
1h26:00,TONIN Francesca,94,ANA ATL.FELTRE,Verona,12/02/2017
1h29:24,SCHIEVENIN Federica,83,ANA ATL.FELTRE,Verona,12/02/2017
1h30:02,SCHIEVENIN Federica,83,ANA ATL.FELTRE,Valencia,22/10/2017
1h51:12,TONIOLO Maria,59,ANA ATL.FELTRE,Treviso,08/10/2017
1h51:51,BOITO Chiara,75,ANA ATL.FELTRE,Verona,12/02/2017
1h52:32,DEON Nadia,65,ANA ATL.FELTRE,Palermo,19/11/2017
1h54:00,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Treviso,08/10/2017
1h55:49,TONIOLO Maria,59,ANA ATL.FELTRE,Torino,26/03/2017
1h59:41,TONIOLO Maria,59,ANA ATL.FELTRE,Verona,12/02/2017
2h14:49,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Verona,12/02/2017
1h23:08,TONIN Francesca,94,ANA ATL.FELTRE,Palmanova,25/11/2018
1h24:40,TONIN Francesca,94,ANA ATL.FELTRE,Berlino,08/04/2018
1h25:32,TONIN Francesca,94,ANA ATL.FELTRE,Treviso,14/10/2018
1h46:57,ZULLIAN Anna,81,ANA ATL.FELTRE,Treviso,14/10/2018
1h48:13,TONIOLO Maria,59,ANA ATL.FELTRE,Pordenone,30/09/2018
1h56:39,D'INCA' Nicoletta,67,ANA ATL.FELTRE,Bibione,06/05/2018
2h07:40,FAJETI Fausta,61,ANA ATL.FELTRE,Bibione,06/05/2018
1h32:41,MENEGAT Francesca,95,ANA ATL.FELTRE,Verona,17/11/2019
1h36:34,VOLKOVA Svetlana,88,ANA ATL.FELTRE,Iesolo,25/05/2019
1h36:57,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,San Biagio Di Callalta,07/11/2021
1h40:42,ARBOIT Diletta,96,ANA ATL.FELTRE,Jesolo,26/06/2021
1h40:55,ARBOIT Diletta,96,ANA ATL.FELTRE,Verona,13/06/2021
1h41:05,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Trento,03/10/2021
1h42:23,MACCAGNAN Rossella susanna,86,ANA ATL.FELTRE,Bibione,12/09/2021
1h50:31,LOAT Cinzia,75,ANA ATL.FELTRE,Palmanova,27/11/2022
1h56:25,LOAT Cinzia,75,ANA ATL.FELTRE,Napoli,27/02/2022
1h57:13,LOAT Cinzia,75,ANA ATL.FELTRE,Santhia,01/05/2022
1h39:09,ZABOT Gigliola,73,ANA ATL.FELTRE,Jesolo,20/05/2023
1h40:16,DALLA BALLA Marta,97,ANA ATL.FELTRE,Reggio Nell'emilia,26/03/2023
1h54:55,LOAT Cinzia,75,ANA ATL.FELTRE,Verona,12/02/2023
