Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
11.80,+2.8,DALLO Francesca,90,ANA ATL.FELTRE,3 se- 2,Tunisi,05/08/2006
12.23,+3.6,SCOPEL Gioia,02,ANA ATL.FELTRE,3 ba- 1,Agropoli,21/06/2019
12.67,+1.3,BOTTEGA Samantha,94,ANA ATL.FELTRE,1 se- 5,Bologna,16/05/2015
12.87,+0.3,BARP Anna asia,04,ANA ATL.FELTRE,2 ba- 5,Bergamo,03/07/2021
13.05,+1.0,DALLA SANTA Angela,99,ANA ATL.FELTRE,1 se- 1,Bussolengo,26/05/2018
12.9,+0.0,DAL PONT Rossella,88,ANA ATL.FELTRE,3 se- 2,Belluno,21/06/2006
13.17,-0.3,CURIC Tea,95,ANA ATL.FELTRE,1 se- 5,Vicenza,19/05/2012
13.19,+1.1,SCHENAL Anna,04,ANA ATL.FELTRE,2 ba- 2,Rossano Veneto,05/09/2021
13.0,,FACCHIN Alessia,93,ANA ATL.FELTRE,1 se- 1,Feltre,20/06/2009
13.25,+2.2,CASSOL Anita,05,ANA ATL.FELTRE,5 se- 7,Padova,23/05/2021
13.26,+3.3,SPADA Silvia,95,ANA ATL.FELTRE,5 se- 3,Marcon,11/05/2013
13.1,,BERNARD Elisa,92,ANA ATL.FELTRE,2 se- 1,Feltre,20/06/2009
13.36,+0.3,RENTO Ilaria,01,ANA ATL.FELTRE,2 se- 6,Padova,24/04/2021
13.36,+2.4,ZATTA Vanessa,01,ANA ATL.FELTRE,1 se- 3,San Giovanni Lupatoto,14/04/2019
13.39,+2.2,DE BARBA Elena,04,ANA ATL.FELTRE,8 se- 7,Padova,23/05/2021
13.50,+2.4,CRIVELLER Ilaria,95,ANA ATL.FELTRE,5 se- 4,Marcon,11/05/2013
13.54,+0.5,DE PAOLI Camilla,05,ANA ATL.FELTRE,4 fi- 1,Rossano Veneto,05/09/2021
13.58,+2.7,DALLA BALLA Marta,97,ANA ATL.FELTRE,2 se- 7,Marcon,11/05/2013
13.61,+0.6,ZABOT Alice,98,ANA ATL.FELTRE,1 se- 7,Marcon,14/06/2014
13.67,+2.7,SPADA Anna,07,ANA ATL.FELTRE,2 se- 6,Borgo Valbelluna,06/05/2023
13.70,+0.8,ANDREOLI Vittoria,07,ANA ATL.FELTRE,3 ba- 1,Feltre,01/07/2023
13.72,+0.4,ZAETTA Chiara,92,ANA ATL.FELTRE,4 su- 1,Feltre,19/06/2010
13.81,-1.0,FRADA Sarah ludovica,06,ANA ATL.FELTRE,4 ba- 5,Feltre,25/06/2022
13.84,+0.3,COMIOTTO Giada,06,ANA ATL.FELTRE,5 se- 5,Borgo Valbelluna,06/05/2023
13.90,+0.2,DE CARLI Alessandra,01,ANA ATL.FELTRE,3 ba- 2,Feltre,31/08/2018
13.91,,FONTANA Stefania,94,ANA ATL.FELTRE,2 su- 1,Borgo Valsugana,23/05/2010
13.92,-0.1,DE BASTIANI Silvia,92,ANA ATL.FELTRE,4 se- 1,Piombino Dese,05/06/2008
13.94,+0.1,DAVID Giovanna,07,ANA ATL.FELTRE,3 se- 1,Borgo Valbelluna,06/05/2023
14.02,-0.4,BASSANI Rossella,96,ANA ATL.FELTRE,1 se- 5,Abano Terme,12/05/2012
14.02,+1.9,MALACARNE Gioia,05,ANA ATL.FELTRE,5 se- 1,Padova,01/05/2022
14.04,-1.4,RAVEANE Giorgia,02,ANA ATL.FELTRE,2 se- 1,San Biagio Di Callalta,12/05/2018
14.13,-0.9,MALACARNE Veronica,99,ANA ATL.FELTRE,4 se- 6,Vicenza,02/05/2015
14.17,+0.3,MOINO Eleonora,06,ANA ATL.FELTRE,4 ba- 1,Feltre,25/06/2022
14.24,+0.5,DE BORTOLI Giulia,04,ANA ATL.FELTRE,7 se- 1,Padova,24/04/2021
14.25,-1.4,PARTELI Elena,00,ANA ATL.FELTRE,3 se- 3,Bolzano,09/06/2018
14.28,-1.1,APPOCHER Vittoria,06,ANA ATL.FELTRE,3 se- 9,Verona,07/05/2022
14.28,+0.1,STRAPPAZZON Irene,96,ANA ATL.FELTRE,5 se- 5,Conegliano,07/06/2013
14.32,,POLIZZI Giuliana,94,ANA ATL.FELTRE,3 su- 1,Borgo Valsugana,23/05/2010
14.1,,MAHJOUBI Gaia,04,ANA ATL.FELTRE,1 su- 1,Vallesella,23/07/2020
14.42,+0.8,VIECELI Gloria,99,ANA ATL.FELTRE,2 se- 8,Vicenza,02/05/2015
14.48,+0.8,DE RIZ Chiara,05,ANA ATL.FELTRE,4 se- 5,Verona,02/06/2022
14.51,-0.9,DE MARCHI Veronica,94,ANA ATL.FELTRE,2 se- 7,Mestre,08/05/2010
14.56,-2.7,FILOSA Annalisa,99,ANA ATL.FELTRE,5 se- 7,Caprino Veronese,27/06/2015
14.60,-0.5,ZATTA Alessia,93,ANA ATL.FELTRE,5 se- 6,Verona,02/06/2010
14.65,-0.5,DAL ZOTTO Benedetta,05,ANA ATL.FELTRE,6 ba- 8,Venezia,29/05/2021
14.5,,GALLON Valentina,91,ANA ATL.FELTRE,4 se- 1,Belluno,29/08/2007
14.82,+0.9,BORTOLAS Melani,00,ANA ATL.FELTRE,5 ba- 3,Feltre,31/08/2018
14.82,+1.3,DALLA CORTE Giada,01,ANA ATL.FELTRE,4 ba- 3,Feltre,23/08/2017
14.83,-1.9,FELTRIN Gioia,02,ANA ATL.FELTRE,6 se- 1,Padova,13/05/2023
14.85,-1.7,PERSICO Elisa,02,ANA ATL.FELTRE,5 se- 8,San Biagio Di Callalta,12/05/2018
14.92,-1.7,SACCHET Beatrice,01,ANA ATL.FELTRE,6 se- 8,San Biagio Di Callalta,12/05/2018
15.45,-0.3,PELLINI Giulia,96,ANA ATL.FELTRE,8 ba- 5,Bassano Del Grappa,15/09/2012
16.42,+0.1,DE BACCO Paola,02,ANA ATL.FELTRE,5 ba- 5,Feltre,31/08/2018
17.89,+0.7,FAJETI Fausta,61,ANA ATL.FELTRE,4 se- 2,Agordo,24/07/2021
