Prest.,Vento,Atleta,Anno,Società,Città,Data
11.10,,DALLA SEGA Andrea,95,ANA ATL.FELTRE,Padova,17/05/2012
11.11,-0.7,SIRAGNA Lorenzo,01,ANA ATL.FELTRE,Vicenza,08/05/2018
11.14,+0.2,ZIVOJINOVIC Milan,01,ANA ATL.FELTRE,Feltre,22/06/2019
11.18,+0.9,ROLDO Demis,85,ANA ATL.FELTRE,Ponzano Veneto,01/06/2017
11.0,+0.0,MANISCALCHI Stefano,90,ANA ATL.FELTRE,Belluno,21/06/2006
11.0,,TIREL Enrico,93,ANA ATL.FELTRE,Feltre,23/08/2012
11.28,+2.4,ZABOT Alex,98,ANA ATL.FELTRE,Agordo,21/05/2016
11.29,+1.7,ZANDOMENEGHI Marco,97,ANA ATL.FELTRE,Rieti,20/06/2014
11.44,+0.9,CRESTANI Mauro,93,ANA ATL.FELTRE,Feltre,21/06/2012
11.47,+1.0,DALLA SEGA Davide,99,ANA ATL.FELTRE,Caorle,05/05/2018
11.49,+0.3,ZABOT Julian,02,ANA ATL.FELTRE,Verona,02/06/2021
11.51,+0.3,VELLO Michele,97,ANA ATL.FELTRE,Catania,16/06/2017
11.56,+0.7,DE PAOLI Federico,02,ANA ATL.FELTRE,Modena,12/07/2023
11.66,+0.0,MARIN Pietro,01,ANA ATL.FELTRE,Bolzano,09/06/2018
11.5,,PERCO Emilio,94,ANA ATL.FELTRE,Feltre,23/08/2012
11.76,+0.1,PARANI Aire,94,ANA ATL.FELTRE,Feltre,18/06/2011
11.83,-1.0,GIAZZON Francesco,00,ANA ATL.FELTRE,Marcon,08/04/2017
11.84,-0.9,BORTOLIN Sebastiano,98,ANA ATL.FELTRE,Feltre,25/06/2016
11.87,+0.5,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Lana,03/09/2022
11.88,+0.1,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Feltre,18/06/2011
11.88,,TREVISAN David,94,ANA ATL.FELTRE,Borgo Valsugana,23/05/2010
11.90,+0.4,ZINGALE Giacomo,94,ANA ATL.FELTRE,Mestre,08/05/2010
11.93,-0.8,CRIVELLER Marco,03,ANA ATL.FELTRE,Vittorio Veneto,28/05/2022
11.7,,SCOPEL Luca,94,ANA ATL.FELTRE,Feltre,23/08/2012
11.98,-0.2,EL AOMARI Abderrahmane,78,ANA ATL.FELTRE,Vicenza,19/05/2012
11.99,-0.3,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,01/05/2023
11.8,,TAMBURLIN Piero,96,ANA ATL.FELTRE,Feltre,13/04/2013
12.10,,GRIS Giuseppe,94,ANA ATL.FELTRE,Padova,18/05/2011
12.12,-0.9,AGOSTINETTO Isacco,99,ANA ATL.FELTRE,Feltre,31/08/2018
12.13,+1.0,BARBANTE Lorenzo,95,ANA ATL.FELTRE,Rovigo,07/05/2011
12.14,+0.2,BIZZARINI Lorenzo,91,ANA ATL.FELTRE,Vicenza,12/05/2007
11.9,,COLLE Nicola,96,ANA ATL.FELTRE,Feltre,23/08/2012
11.9,,VENDRAME Marco,95,ANA ATL.FELTRE,Feltre,23/08/2012
12.16,-0.7,D'AGOSTINI Enrico,94,ANA ATL.FELTRE,Feltre,19/06/2010
12.20,+2.3,MADONNA Donato,91,ANA ATL.FELTRE,Agordo,21/05/2016
12.20,,TONO Lorenzo,94,ANA ATL.FELTRE,Padova,18/05/2011
12.23,-2.2,LUCA Cristian,00,ANA ATL.FELTRE,Conegliano,25/04/2016
12.26,+1.0,REN Cristian,06,ANA ATL.FELTRE,Feltre,01/07/2023
12.32,-1.1,ARGENTA Alessio,06,ANA ATL.FELTRE,Borgo Valbelluna,06/05/2023
12.56,+0.1,PAGNUSSAT Andrea,95,ANA ATL.FELTRE,Feltre,18/06/2011
12.67,+0.4,CAPPELLO Massimiliano,91,ANA ATL.FELTRE,Feltre,26/05/2010
12.71,-2.1,CANOVA Luca,91,ANA ATL.FELTRE,Rosa,14/06/2008
12.71,+1.6,ZUGLIAN Giorgio,00,ANA ATL.FELTRE,Bolzano,09/06/2018
13.02,+0.6,VISCA Gianmarco,95,ANA ATL.FELTRE,Lignano Sabbiadoro,07/09/2012
13.05,-1.5,MILOSEVIC Petar,03,ANA ATL.FELTRE,Padova,25/04/2019
